IpAddr,AddrType,Proto,Port,PortState,Reason,TTL,ServiceName,Banner
192.168.50.124,ipv4,tcp,445,open,syn-ack,127,,
192.168.50.218,ipv4,tcp,445,open,syn-ack,127,,
192.168.50.34,ipv4,tcp,8443,open,syn-ack,63,,
192.168.50.162,ipv4,tcp,443,open,syn-ack,128,,
192.168.50.162,ipv4,tcp,445,open,syn-ack,128,,
192.168.50.158,ipv4,tcp,8443,open,syn-ack,63,,
192.168.50.34,ipv4,tcp,8443,open,response,63,ssl,"TLS/1.1 cipher:0xc014,     1A9B885E260009B0 00:09:B0:B5:AC:4D"
192.168.50.34,ipv4,tcp,8443,open,response,63,X509,MIID5jCCAs6gAwIBAgIBdzANBgkqhkiG9w0BAQsFADB1MQswCQYDVQQGEwJVUzETMBEGA1UECAwKQ2FsaWZvcm5pYTEWMBQGA1UEBwwNTW91bnRhaW4gVmlldzETMBEGA1UECgwKR29vZ2xlIEluYzENMAsGA1UECwwEQ2FzdDEVMBMGA1UEAwwMQ2FzdCBSb290IENBMB4XDTE2MDEyMjE3MzY1OVoXDTM2MDExNzE3MzY1OVowfTELMAkGA1UEBhMCQVQxDzANBgNVBAgMBlZpZW5uYTEPMA0GA1UEBwwGVmllbm5hMRgwFgYDVQQKDA9TdHJlYW1VbmxpbWl0ZWQxDTALBgNVBAsMBENhc3QxIzAhBgNVBAMMGlN0cmVhbVVubGltaXRlZCBDYXN0IEF1ZGlvMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApxD3GfWt0Yutwe8iky2EbQcO6wITuQ/MOHSeVnTDm3tyAiRd4iy45uI2h6hTTBsAXXj6I5kyb6pwxEr5zFu7YPymwi10Ly3LZtSsGR3PCHjaxKgxTevcG+Ws7qtqeGCHUmMCjlvoPHatUhTEtB+9Wvnh//W/LarTYaDAPZ/ZhQsEcBMcBrt3NI27nZ3xxchgBP9b0qDwLLCkuM2Om6O84OTYy2xc12m3DHfAPyEADhSbSW1Ma2Mq35rzt13Bjxh1lp3zkaMHP1amlLNYuYLk+28PUzasauU/lpTYGUbYjBxcgQND8YAbmQVxxolOSCykj10o1XZjjmja4gjMz5Ei4QIDAQABo3kwdzAPBgNVHRMECDAGAQH/AgEBMB0GA1UdDgQWBBR8pvTqQ1nuxuxJ5wQIKiGo2DTgdjAfBgNVHSMEGDAWgBR8mh5933lUvNfMXsqZhkV5ZXQoGTALBgNVHQ8EBAMCAQYwFwYDVR0gBBAwDjAMBgorBgEEAdZ5AgUCMA0GCSqGSIb3DQEBCwUAA4IBAQBpbHrjTTmlqEnTWnKhW0/PjXFWYzvhO9VIBe6fWsVUY7DTuV9OJ7o/X8cMoRPQaY0wEe6PeAqbDvfE13ec7GZxMZTDshHrcb5hAqhpekz//YFpy/vNlpFtCRgKlUzr53JMN++MhjpQin6yXr6Wlqz9ZiMMAAP2Y+4dQUXD3pJlesepZbawaDTtQroFC3zLby5h1gh0wnOYzB3Vl46ckRI7hPqL1/G2hc1uTFSr8h4ZEOrRGSME1tixjq/tIugJXGDJGDyb1bMY+o6RiuoKnPwMgWt8mqTwlqBuD+dviKbQzYJmVNzCkM02zh0ylVz2DbaEtUxpGon7RzPFDxqtOLD4
192.168.50.34,ipv4,tcp,8443,open,response,63,X509,MIID4zCCAsugAwIBAgICA+wwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCQVQxDzANBgNVBAgMBlZpZW5uYTEPMA0GA1UEBwwGVmllbm5hMRgwFgYDVQQKDA9TdHJlYW1VbmxpbWl0ZWQxDTALBgNVBAsMBENhc3QxIzAhBgNVBAMMGlN0cmVhbVVubGltaXRlZCBDYXN0IEF1ZGlvMB4XDTE2MDEyNzE2MjI1OVoXDTM2MDExNzE2MjI1OVowcTELMAkGA1UEBhMCQVQxDzANBgNVBAgMBlZpZW5uYTEPMA0GA1UEBwwGVmllbm5hMRgwFgYDVQQKDA9TdHJlYW1VbmxpbWl0ZWQxDTALBgNVBAsMBENhc3QxFzAVBgNVBAMMDk9OS1lPLVNTQi0wODQ0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvDyTzwMcUzjr/t2NSfb2Yzs9VYVOh+bd/dkCaUaYSktBH3RKNmR+9cDIV6ndTVNIDy3irpCy7hilNbALOKZOot6S0c8HvvtGOs0czT/LsKoplSKmmjB4S5TPKfsh/eV/s6w4eG8hivIlWxI6H/vdd5LG5/qdx6HPuVbRlBnckDV8Rph4wy4WsnGkUnH0EH//jzzCG6t9ygq3sW8UcTnP963eFhZYDp/wDF20qEHfXbE/W7DWy6Ne65rqU0/tygkwV29xqjXIxGKSuDNfKQ39P7yR+PerP0KGOm9Be2ZPXdq74nU1PrWEcXzjHaAxKskalUYtM3N5VX33PrRktLlIvwIDAQABo3kwdzAPBgNVHRMECDAGAQH/AgEAMAsGA1UdDwQEAwIBBjAdBgNVHQ4EFgQUXJC21yh0nGrfiI0bjC4UGOvT6qMwHwYDVR0jBBgwFoAUfKb06kNZ7sbsSecECCohqNg04HYwFwYDVR0gBBAwDjAMBgorBgEEAdZ5AgUCMA0GCSqGSIb3DQEBCwUAA4IBAQCjBcNu/SDDrJR90afHjhMF1myKSMmH+zd1KnPdG+1wExqEbxez4cSL/bICgNeonsua/l7mtFzcjwTxUfXia3pa/hFYBgr2CaGt6yXjwwgbilEmk3Y1XK5UNMfhzrsrStGok9iM2sZY/rCWXEUuIOiuOrG9pDinS9bMYRHFD0XmxfulS+ds2nA8OfxQTipAcOOU10tj1ELF3mzx2JpoOIhbZc2pDQhVTkFJ/90vIUJ0TUfY4MW8jOTGkQgt0cy/LhG5a72NxmHJlX+pEekNP1Brc1ULzgNiM5OPVYtsOZ09ZkTzLCCqkSLeRjZylLGkDTW6iqfN9mt8L/ig7Y7Kymm7
192.168.50.34,ipv4,tcp,8443,open,response,63,X509,MIIDujCCAqKgAwIBAgIUdPbscveVYpMDhOcxW2CtadgoeHQwDQYJKoZIhvcNAQELBQAwcTELMAkGA1UEBhMCQVQxDzANBgNVBAgMBlZpZW5uYTEPMA0GA1UEBwwGVmllbm5hMRgwFgYDVQQKDA9TdHJlYW1VbmxpbWl0ZWQxDTALBgNVBAsMBENhc3QxFzAVBgNVBAMMDk9OS1lPLVNTQi0wODQ0MB4XDTE2MDEyNzE2MjI1OVoXDTM2MDExNzE2MjI1OVowMTEvMC0GA1UEAwwmICAgIDFBOUI4ODVFMjYwMDA5QjAgMDA6MDk6QjA6QjU6QUM6NEQwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDoqvFvZmAzlYMEjoIEdVo5Pti9iLd0+NTHUs+Yb2ARC97kWQuGK8kQyYYqskRtJli5LxUc5LHySLlwmYUv5ESvWye2TM1BngeAIuRVTE/FEAktB7lpHbjFcW0Q6eoGFZhLn6rf9+qo4hLpf6XVvTKUJZJ3WhLZw/bZgkHdLDWe5wGufuWT9tI1VE6p30PWUDJ1KZKHGesK1YFpK2mtumG6SdMfcklT3JMe2N4KdZxc0FvSjrS9P8oLfkRTwBfWAn8JrHIgVM5/zE4n+6cFN5Ck70xAWVKbCu4tKM4Dff3WTZyQB51WUwmSXcpjOC/NgfuUqFODbNuOZMehneJORmMJAgMBAAGjgYkwgYYwCQYDVR0TBAIwADALBgNVHQ8EBAMCB4AwEwYDVR0lBAwwCgYIKwYBBQUHAwIwHQYDVR0OBBYEFFTWzFLG1FvRO7zSdGlWnVnoETpEMB8GA1UdIwQYMBaAFFyQttcodJxq34iNG4wuFBjr0+qjMBcGA1UdIAQQMA4wDAYKKwYBBAHWeQIFAjANBgkqhkiG9w0BAQsFAAOCAQEAlwJBEIgZjLJZxprMe10nm9eo8vsGD7JfKWLQpOo+/jlbswlsoDLAUjMO+oSJu8buiSdWfcvgUvYkUDeCdN7TgNwYQLZhVSENGAs5HVKxZLiaVXgeoEXYA+ePWLJs/56+R/OUYLB1xslBp7AppaH01g1Ou+MTyxanQTA8qid7B5qGbP4fb/nDjprui48MOgVAOpGBnhnK2+kWupmtrqsSMdf4WOmmIbsC2c19z+WykazqlwnVTvn9Do2SiqGLlrR/cUWgY/08muteTD2xmvMGm4MmOWlngfzxFdAFM05WLOrrTwj+0MKuV0WClc1jKQ/vF1b2KKcL2GaaZ7w85p5mgQ==
192.168.50.158,ipv4,tcp,8443,open,response,63,ssl,"TLS/1.1 cipher:0xc014, -8964025719453200560"
192.168.50.158,ipv4,tcp,8443,open,response,63,X509,MIIDzjCCAragAwIBAgICAUIwDQYJKoZIhvcNAQELBQAwdTELMAkGA1UEBhMCVVMxEzARBgNVBAgMCkNhbGlmb3JuaWExFjAUBgNVBAcMDU1vdW50YWluIFZpZXcxEzARBgNVBAoMCkdvb2dsZSBJbmMxDTALBgNVBAsMBENhc3QxFTATBgNVBAMMDENhc3QgUm9vdCBDQTAeFw0xODA1MjMxOTE2NThaFw0zODA1MTgxOTE2NThaMH0xCzAJBgNVBAYTAlVTMRMwEQYDVQQIDApXYXNoaW5ndG9uMREwDwYDVQQHDAhLaXJrbGFuZDETMBEGA1UECgwKR29vZ2xlIEluYzERMA8GA1UECwwIV2lkZXZpbmUxHjAcBgNVBAMMFVdpZGV2aW5lIENhc3QgU3Vicm9vdDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKeLRw+xkq1QzU3FrQ+Gjzd7NigVWwkDgQTfFCJNHxNWSxwzgjYXi05JHf/vGC23VOs6+90Wekw86BuUCPfA1/0t3DlYu0p6YXC96W2bBziPD3RFNrQXjBlRL/86CQW1iDYR9sXsjw8ds1pCsI8ssp7tunGagWjZFI3L7APJEqHBTAMXYl/ne03/LkUqmd6Hlt68cdrj5VZe1SRZ3lFFREE033tvOJoDcsh+55QSvZrANziFOJM/IoxTQ4Q8ONO1CvdHA1HSiUttf7JHCF2WON/Qh9MzKlNSyZuZ0IN3/g29nmKjIZzLurX2XP78UvH/9jEVyMpOrNyLPoQBzB75408CAwEAAaNgMF4wDwYDVR0TBAgwBgEB/wIBATAdBgNVHQ4EFgQU5lfQWszlt42DAaFY2EV2zY3YNMIwHwYDVR0jBBgwFoAUfJoefd95VLzXzF7KmYZFeWV0KBkwCwYDVR0PBAQDAgEGMA0GCSqGSIb3DQEBCwUAA4IBAQAfEXtJ3Tqf/N1wxnjfQW9K0ZyzR3jpE7dIR/VGjhGL1VM8fDiNN5EBBYigxdzM8vkDvC1zA5r8MRS2dZ29N2+dbyAkbAxiVLLl448AnOajhH4KzwSyZmGDWSxLdibt+bJO32zvJYQWVYe6VBdUAENGL0mcAv9xVPigU6v7hbFQd0+m5TnZbZdBDqPwYWeO0IdzSdnuK64VQufaR8ZCzYzqn77vA6EouvXj1ZJDFWmrnBDKm30a8xH6Xh33I74LtUG7eeVWmdiGa/RT0qsEL8kSWcSjz7djpsUXckjx8113jGZicu+P+OOEFAA24q4ZoC5eaAagY66Q3CE7LViCbTWi
192.168.50.158,ipv4,tcp,8443,open,response,63,X509,MIIDzTCCArWgAwIBAgICA0cwDQYJKoZIhvcNAQELBQAwfTELMAkGA1UEBhMCVVMxEzARBgNVBAgMCldhc2hpbmd0b24xETAPBgNVBAcMCEtpcmtsYW5kMRMwEQYDVQQKDApHb29nbGUgSW5jMREwDwYDVQQLDAhXaWRldmluZTEeMBwGA1UEAwwVV2lkZXZpbmUgQ2FzdCBTdWJyb290MB4XDTE5MDkxNzAzNDQxOFoXDTM5MDkxNzAwMTEwNVowfjELMAkGA1UEBhMCVVMxEzARBgNVBAgMCldhc2hpbmd0b24xETAPBgNVBAcMCEtpcmtsYW5kMRMwEQYDVQQKDApHb29nbGUgSW5jMREwDwYDVQQLDAhXaWRldmluZTEfMB0GA1UEAwwWTlZpZGlhIFNoaWVsZCBDYXN0IElDQTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMbt+Wv+6ohyztTaZ6DfRt6wMv38ajaCiis9n8nKBLe/2Bt1vEWsAydVuNnDeNM9a11OOaIea6QjEstIY0dz7Z4qnNi2UjvIqd2TozGTxtOS+OYuOwd13QpHSqTD4xe+Rt90uikggVkjQiaUXsevRIu7J3Yp3lZDhVwdvPeARjwDlbH7E0in+AqvEqvjpPGX/HqVBHzqGVOulqNcqKfkdP47KXf376G1ZODP7AQCf/iOeVoJOL7D/30PiZlnezePfgVrHcB24pgvbM2AhHHwIwVaLNRaCwUKSEKDDxKoPUMRyL1K3dWRT4EiTRhVLjZR4ZgCMiQZ+jNt2EOzHwunCRECAwEAAaNWMFQwEgYDVR0TAQH/BAgwBgEB/wIBADAdBgNVHQ4EFgQU2Zfy/ace/DC4cv23sc04n1MNdhkwHwYDVR0jBBgwFoAU5lfQWszlt42DAaFY2EV2zY3YNMIwDQYJKoZIhvcNAQELBQADggEBAAmBDzAudkSZ1B1kWB119M0WLQVpik2LVeD/juAB2eUSkv8tV1BAsr4+61IHoaqwgNalGMIS+IBG9m+H3OazgQ3mhVY0RkaUFtUWsFynxdJnw/gFMIEtYE53efnKOWFzro/OB4cB1XXPZ7sQp0OD2J+8tYvuohG+G39KDCiijB/T6yVHmUcnPmjVd1bPuMKxkWh+Hrlv3PK/SpX7yqlTdT37lEQJc+vkwpjlHBg7ab8Phrk9XO3BxGcoFad3HiuNYWk1DQTlVddaxFXvzfh6bP5bniOn2LaaEv888kV5CaVzLohvW5xdegPuCgtMtgYfIQ+kMA0M9W0z2LqSnbfvVQE=
192.168.50.158,ipv4,tcp,8443,open,response,63,X509,MIID7zCCAtegAwIBAgIJAIOZYhoChs9QMA0GCSqGSIb3DQEBCwUAMH4xCzAJBgNVBAYTAlVTMRMwEQYDVQQIDApXYXNoaW5ndG9uMREwDwYDVQQHDAhLaXJrbGFuZDETMBEGA1UECgwKR29vZ2xlIEluYzERMA8GA1UECwwIV2lkZXZpbmUxHzAdBgNVBAMMFk5WaWRpYSBTaGllbGQgQ2FzdCBJQ0EwHhcNMjAwMzE0MTU0NjM1WhcNNDAwMzE0MTU0NjM1WjB8MQswCQYDVQQGEwJVUzETMBEGA1UECAwKV2FzaGluZ3RvbjERMA8GA1UEBwwIS2lya2xhbmQxEzARBgNVBAoMCkdvb2dsZSBJbmMxETAPBgNVBAsMCFdpZGV2aW5lMR0wGwYDVQQDDBQtODk2NDAyNTcxOTQ1MzIwMDU2MDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANu1XDx+NvzSHLviiAJhYK2prF94nfhuEeommfJME2RpxAA14/33I8jGOsYvVd2owrF/rjDVC+DSTOab25FbDN+sZaYG9lJch36bdm9PQoDdSrUSy9PE6dg9byKfWTXs2OHCLwEdNTwkRGTTbOg4Z62UsyqvJW7jr3wK++bbcBJ4DG2nYxQpYLzvMef7XUCCVwJFAj5GApIaR+aV8enIffVRYunz2pPcEFuK3Gdpc540GNjsMvtkROHK9rCEhyqpNLYaxjYmpJ3eVrYC60Iow1uKvKpESTS/gKTUeCw5nOEbwN18BxcC1GMt37KDN5zLAke5uqR7ORDLtq/iFnzzgpMCAwEAAaNyMHAwDAYDVR0TAQH/BAIwADALBgNVHQ8EBAMCB4AwEwYDVR0lBAwwCgYIKwYBBQUHAwIwHQYDVR0OBBYEFATHUUG+NNldv3VbiRD9gDJbhWhrMB8GA1UdIwQYMBaAFNmX8v2nHvwwuHL9t7HNOJ9TDXYZMA0GCSqGSIb3DQEBCwUAA4IBAQC5oe3DdUzEubnsyZu54lWt13MKaL3ZZ0M/WYUcD14Oj3UORYN6uE4ZDsExbUqkgHB4TnVL/Axj7mZnYzwpzS5aSWdmSCk/qO2LPYFxolyHgtDS0g2eO4t1DMcY086Xsf0GpXE7G5EAv3AmqU+f4X5PtfStP0N4CBvL01Ag29qXlmfpI32+eqqtG0QpzTtN4dDkUYNdXsEAWoJordCGIDBZahj13qXo1tXI9IZK95PkVQPiJM0P/cFbNJFaIIkwA/TpK65eat1h4vi5QXRb+eWFa07FEvl7WVuSE5WWDUFwVTE7nd+E6VsbR63Wv9lACI761H1vIy5VCoDfmnx/hoO0
